id;deglat;minlat;seclat;deglong;minlong;seclong;utmzone;utmeast;utmnorth;utmsrid;decimlat;decimlong
2018-01554;;;;;;;;;;;;
2018-01555;;;;;;;;;;;;
2018-01570;;;;;;;;;;;;
2018-01580;;;;;;;;;;;;
2018-01581;;;;;;;;;;;;
2018-01582;;;;;;;;;;;;
2018-03255;;;;;;;11;418064.56;6292451.39;32611;;
2018-03256;;;;;;;11;416654.33;6294663.08;32611;;
2018-03257;;;;;;;11;418395.33;6299752.5;32611;;
2018-02376;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02391;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-05339;;;;;;;;;;;;
2021-35196;;;;;;;;;;;;
2023-02410;;;;;;;;;;;;
2018-03258;;;;;;;11;416793.75;6295257;32611;;
2018-03259;;;;;;;11;416793.75;6295257;32611;;
2023-02001;;;;;;;;;;;;
2018-01229;;;;;;;;;;;;
2018-02363;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-00890;56;38;58.1;-111;18;49.6;;;;;;
2018-00945;56;31;44.9;-111;18;44.6;;;;;;
2018-01022;56;31;22.8;-111;16;12.8;;;;;;
2018-01079;56;38;58.3;-111;18;47.5;;;;;;
2018-01645;55;22;27;-111;10;13;;;;;;
2018-01664;55;22;32;-111;10;23;;;;;;
2018-01666;55;22;32;-111;10;23;;;;;;
2018-01838;55;22;14;-111;10;33;;;;;;
2018-01879;55;21;60;-111;10;1;;;;;;
2018-01979;55;22;14;-111;10;33;;;;;;
2018-01993;55;22;22;-111;10;26;;;;;;
2018-04757;55;22;14;-111;10;36;;;;;;
2018-04799;55;22;19;-111;9;1;;;;;;
2018-00154;56;29;35.6;-111;13;52.7;;;;;;
2018-00714;56;24;49.3;-111;2;52.8;;;;;;
2018-02111;;;;;;;;;;;;
2018-02130;;;;;;;;;;;;
2018-04536;54;34;59;-110;28;15;;;;;;
2018-04609;54;34;59;-110;28;15;;;;;;
2018-02043;;;;;;;12;333390.79;5935588.04;32612;;
2018-05299;;;;;;;;;;;;
2018-00680;56;26;0.6;-111;3;57.5;;;;;;
2018-00862;56;26;0.6;-111;3;57.5;;;;;;
2018-01012;56;24;49.3;-111;2;52.8;;;;;;
2018-01646;55;22;27;-111;10;13;;;;;;
2018-01678;55;22;34;-111;10;23;;;;;;
2018-01933;55;22;22;-111;10;26;;;;;;
2018-01956;55;22;32;-111;10;23;;;;;;
2018-01964;55;22;27;-111;10;13;;;;;;
2018-01984;55;22;25;-111;10;28;;;;;;
2018-03260;;;;;;;;;;;;
2018-03261;;;;;;;;;;;;
